frame_index,icon_c0_r0,icon_c0_r1,icon_c0_r2,icon_c1_r0,icon_c1_r1,icon_c1_r2,icon_c2_r0,icon_c2_r1,icon_c2_r2
31405,2,2,5,2,6,2,4,4,1
31406,5,5,3,3,3,7,3,7,3
31407,2,2,2,3,3,7,2,2,5
31408,2,2,5,3,3,3,5,0,3
31409,3,3,0,1,1,0,6,1,1
31410,2,2,2,1,0,2,3,3,4
31411,3,3,3,4,1,5,5,0,3
31412,2,2,2,2,2,3,2,0,2
31413,2,5,5,5,1,1,1,1,1
31414,5,3,0,0,4,4,1,1,2
31415,6,4,4,1,1,1,3,3,3
31416,2,7,2,3,7,4,1,1,1
31417,1,1,1,1,1,0,3,3,4
31418,2,2,2,4,4,1,1,2,0
31419,1,2,7,3,3,7,4,0,0
31420,0,1,1,1,1,1,0,2,2
31421,3,0,3,4,4,4,3,3,4
31422,3,3,0,4,4,4,3,7,3
31423,2,2,2,2,2,2,4,0,0
31424,1,1,1,0,2,6,2,2,2
31425,1,1,2,4,4,4,2,5,5
31426,0,0,1,3,3,7,4,1,6
31427,2,2,2,4,4,4,0,2,2
31428,6,4,4,1,0,2,3,3,4
31429,4,4,4,4,1,5,1,1,2
31430,2,2,5,3,3,7,2,5,5
31431,7,2,2,0,3,3,1,1,1
31432,3,0,4,2,3,0,3,3,4
31433,4,4,4,0,4,4,1,1,1
31434,4,4,4,7,4,0,7,3,3
31435,1,0,0,3,7,4,3,4,0
31436,0,1,1,4,4,1,1,2,0
31437,0,1,1,3,3,3,2,5,5
31438,2,7,2,3,3,7,2,2,5
31439,3,3,0,3,3,3,0,2,2
31440,1,0,0,3,3,7,4,4,1
31441,1,0,0,3,3,7,6,1,1
31442,1,1,1,2,2,3,1,2,0
31443,5,5,3,4,1,5,5,5,0
31444,2,5,5,2,2,2,3,4,0
31445,1,0,0,3,3,7,0,0,4
31446,2,2,2,2,2,3,4,4,1
31447,0,4,6,4,1,5,5,5,0
31448,4,6,4,3,0,3,4,4,1
31449,1,1,2,1,1,0,5,5,0
31450,3,0,4,1,1,1,3,7,3
31451,3,3,3,2,6,2,2,2,5
31452,0,1,1,4,1,5,4,4,4
31453,2,5,5,3,0,3,3,7,3
31454,7,2,2,1,1,0,1,2,0
31455,1,2,7,3,3,7,3,7,3
31456,0,3,3,2,2,2,6,1,1
31457,0,4,6,3,3,7,2,2,2
31458,1,1,2,0,4,4,4,1,6
31459,1,1,1,2,2,2,1,1,1
31460,1,1,1,2,2,3,3,7,3
31461,3,0,3,1,1,0,0,4,4
31462,2,2,2,4,1,5,1,1,2
31463,0,0,1,4,1,5,2,0,2
31464,7,2,2,2,3,0,0,3,7
31465,4,1,0,0,2,6,5,5,0
31466,5,5,3,1,1,0,4,1,6
31467,2,2,2,2,6,2,0,4,4
31468,1,2,7,3,7,4,3,3,3
31469,4,6,4,3,0,3,0,4,4
31470,2,5,5,2,2,3,0,3,7
31471,1,1,2,0,3,3,2,0,2
31472,6,4,4,3,3,7,3,3,4
31473,7,2,2,2,2,3,3,7,3
31474,2,5,5,1,5,1,2,2,2
31475,7,2,2,6,2,2,0,3,7
31476,1,0,0,3,3,3,3,3,4
31477,1,0,0,2,2,2,2,2,5
31478,6,4,4,2,2,2,1,2,0
31479,1,2,7,0,2,6,3,7,3
31480,3,3,3,3,3,7,6,1,1
31481,7,2,2,0,4,4,0,3,7
31482,3,3,3,4,1,5,5,5,0
31483,1,1,1,4,4,1,6,1,1
31484,2,2,5,1,1,0,1,2,0
31485,2,2,2,0,2,6,6,1,1
31486,3,0,4,7,4,0,0,2,2
31487,0,3,3,2,6,2,2,2,2
31488,3,3,3,0,2,6,7,3,3
31489,1,0,0,4,0,4,0,0,4
31490,1,1,2,0,3,3,0,0,4
31491,6,4,4,1,5,1,2,2,5
31492,4,1,0,4,0,4,2,2,5
31493,0,0,1,5,1,1,3,4,0
31494,1,0,0,2,6,2,0,0,4
31495,2,5,5,4,1,5,4,0,0
31496,3,3,3,6,2,2,4,4,1
31497,4,4,1,5,1,1,4,0,0
31498,1,2,7,3,0,3,1,2,0
31499,3,3,0,6,2,2,0,4,4
31500,2,2,2,4,4,4,1,1,1
31501,1,0,0,4,1,5,7,3,3
31502,3,3,3,3,0,3,7,3,3
31503,4,1,0,4,4,1,4,1,6
31504,3,0,4,2,6,2,7,3,3
31505,3,3,3,4,1,5,1,6,1
31506,0,3,3,3,3,3,1,1,2
31507,0,1,1,2,3,0,7,3,3
31508,4,4,4,2,6,2,4,4,1
31509,4,4,4,1,1,1,2,0,2
31510,0,1,1,3,3,7,7,3,3
31511,4,4,1,4,0,4,6,1,1
31512,4,6,4,1,1,0,5,5,0
31513,3,0,4,4,0,4,7,3,3
31514,3,3,3,2,2,3,3,4,0
31515,3,3,3,1,1,1,1,6,1
31516,3,3,0,2,6,2,3,3,4
31517,1,1,1,7,4,0,7,3,3
31518,5,3,0,4,1,5,2,2,2
31519,2,7,2,1,0,2,1,1,2
31520,7,2,2,1,5,1,3,3,4
31521,0,1,1,1,1,1,2,5,5
31522,4,4,4,4,1,5,3,3,4
31523,0,1,1,6,2,2,4,4,4
31524,3,3,0,2,6,2,5,0,3
31525,5,5,3,3,7,4,0,3,7
31526,3,3,0,0,2,6,1,1,1
31527,6,4,4,3,3,7,7,3,3
31528,0,1,1,4,4,4,3,3,3
31529,3,3,3,2,3,0,0,0,4
31530,4,6,4,7,4,0,4,0,0
31531,6,4,4,2,3,0,2,2,2
31532,1,1,1,3,3,3,7,3,3
31533,1,0,0,1,1,1,0,2,2
31534,6,4,4,1,1,0,4,0,0
31535,3,3,0,1,5,1,1,1,1
31536,1,1,1,1,1,1,0,4,4
31537,2,7,2,0,4,4,2,2,5
31538,4,4,1,7,4,0,1,2,0
31539,5,3,0,3,0,3,5,0,3
31540,2,2,2,3,3,3,2,5,5
31541,2,2,5,1,1,0,0,2,2
31542,2,7,2,2,3,0,4,0,0
31543,4,4,4,3,3,3,5,0,3
31544,4,4,4,2,6,2,7,3,3
31545,3,0,4,3,3,3,3,7,3
31546,1,1,1,4,1,5,2,2,5
31547,4,4,1,5,1,1,4,0,0
31548,3,3,3,7,4,0,4,4,1
31549,6,4,4,2,2,3,4,4,4
31550,3,0,3,3,3,3,3,4,0
31551,1,1,2,1,0,2,3,3,3
31552,0,4,6,4,0,4,4,4,1
31553,7,2,2,1,5,1,1,1,2
31554,2,5,5,1,1,0,6,1,1
31555,2,2,2,2,3,0,3,7,3
31556,1,1,2,1,1,0,1,1,1
31557,0,0,1,3,0,3,5,0,3
31558,0,4,6,7,4,0,1,6,1
31559,2,7,2,3,3,3,2,0,2
31560,3,0,3,0,2,6,0,0,4
31561,4,1,0,4,1,5,7,3,3
31562,5,3,0,4,0,4,2,2,2
31563,6,4,4,3,0,3,6,1,1
31564,3,3,3,4,4,4,4,0,0
31565,0,3,3,2,3,0,6,1,1
31566,5,3,0,2,2,3,4,1,6
31567,0,4,6,4,4,4,5,0,3
31568,3,3,3,2,6,2,1,6,1
31569,5,5,3,4,4,4,0,2,2
31570,6,4,4,0,2,6,0,2,2
31571,5,5,3,5,1,1,2,0,2
31572,2,2,2,3,3,3,5,0,3
31573,2,2,2,2,6,2,2,2,2
31574,3,3,0,2,2,3,7,3,3
31575,1,0,0,3,3,3,1,1,1
31576,1,0,0,6,2,2,1,2,0
31577,4,6,4,1,5,1,0,2,2
31578,7,2,2,1,5,1,7,3,3
31579,4,4,4,3,0,3,0,2,2
31580,5,5,3,0,4,4,0,4,4
31581,1,0,0,4,4,1,1,2,0
31582,0,4,6,4,4,4,0,3,7
31583,5,3,0,3,3,7,2,5,5
31584,0,0,1,1,0,2,0,2,2
31585,3,0,3,2,3,0,4,1,6
31586,4,1,0,2,3,0,4,0,0
31587,0,1,1,4,0,4,2,2,5
31588,4,1,0,2,6,2,1,6,1
31589,7,2,2,3,3,3,4,0,0
31590,4,6,4,2,2,3,1,2,0
31591,4,4,1,2,2,2,5,5,0
31592,2,2,5,7,4,0,3,4,0
31593,2,5,5,7,4,0,0,0,4
31594,0,0,1,3,0,3,4,4,1
31595,4,4,4,4,1,5,5,0,3
31596,5,3,0,0,2,6,3,4,0
31597,0,3,3,6,2,2,0,2,2
31598,1,1,2,4,4,1,5,0,3
31599,3,3,3,0,3,3,2,5,5
31600,2,5,5,3,7,4,2,0,2
31601,7,2,2,5,1,1,3,3,3
31602,5,5,3,3,3,7,1,1,2
31603,5,5,3,3,0,3,1,1,1
31604,1,1,2,3,7,4,2,2,5
31605,4,4,1,1,0,2,2,2,5
31606,5,5,3,2,6,2,2,0,2
31607,2,7,2,1,0,2,6,1,1
31608,2,5,5,4,0,4,4,1,6
31609,2,2,2,7,4,0,6,1,1
31610,3,3,3,2,2,3,1,6,1
31611,1,1,2,3,3,3,4,0,0
31612,6,4,4,4,0,4,1,2,0
31613,3,0,4,7,4,0,1,2,0
31614,5,5,3,7,4,0,4,4,4
31615,4,6,4,7,4,0,1,1,2
31616,0,1,1,2,2,3,7,3,3
31617,6,4,4,0,2,6,6,1,1
31618,1,2,7,5,1,1,1,1,2
31619,7,2,2,2,6,2,2,2,5
31620,1,2,7,3,7,4,1,6,1
31621,3,3,0,0,2,6,0,3,7
31622,3,3,0,1,1,1,4,4,1
31623,5,5,3,1,1,1,7,3,3
31624,4,4,1,1,0,2,1,1,2
31625,2,2,5,3,3,7,0,0,4
31626,4,6,4,4,0,4,1,1,2
31627,1,2,7,4,4,1,3,3,4
31628,4,4,1,1,1,1,1,1,1
31629,2,2,2,3,3,3,0,2,2
31630,2,2,2,3,3,7,2,0,2
31631,1,2,7,1,0,2,0,0,4
31632,7,2,2,3,7,4,4,4,4
31633,6,4,4,0,3,3,1,2,0
31634,4,1,0,4,4,1,1,2,0
31635,3,3,3,2,3,0,1,6,1
31636,5,3,0,3,3,3,1,2,0
31637,2,2,5,2,2,3,5,0,3
31638,4,4,4,4,4,1,4,4,4
31639,4,6,4,4,0,4,3,4,0
31640,5,3,0,3,0,3,0,2,2
31641,0,1,1,1,0,2,5,0,3
31642,2,2,2,0,3,3,0,3,7
31643,0,3,3,3,7,4,0,0,4
31644,1,1,2,5,1,1,5,5,0
31645,4,1,0,6,2,2,0,2,2
31646,4,4,1,1,1,0,2,0,2
31647,0,3,3,4,0,4,3,4,0
31648,2,7,2,5,1,1,5,5,0
31649,6,4,4,3,3,7,6,1,1
31650,2,5,5,1,0,2,2,2,5
31651,4,4,4,2,3,0,7,3,3
31652,1,2,7,3,3,3,1,2,0
31653,4,4,4,5,1,1,6,1,1
31654,2,5,5,0,4,4,3,7,3
31655,0,3,3,7,4,0,0,3,7
31656,1,2,7,3,3,3,5,0,3
31657,1,1,2,1,1,0,4,0,0
31658,4,4,4,4,1,5,3,3,4
31659,3,3,0,2,6,2,2,2,2
31660,4,4,4,6,2,2,0,4,4
31661,5,5,3,1,1,1,3,4,0
31662,0,0,1,4,1,5,3,3,4
31663,2,2,5,7,4,0,4,0,0
31664,4,1,0,1,5,1,2,0,2
31665,0,4,6,4,0,4,7,3,3
31666,2,2,5,4,0,4,1,2,0
31667,4,4,1,2,6,2,4,4,1
31668,0,1,1,3,7,4,0,2,2
31669,3,0,3,3,0,3,2,2,5
31670,1,1,1,7,4,0,1,2,0
31671,1,1,2,3,3,7,2,0,2
31672,0,3,3,1,1,0,0,0,4
31673,1,1,2,4,0,4,4,0,0
31674,1,2,7,3,7,4,3,7,3
31675,7,2,2,2,2,3,4,4,1
31676,7,2,2,4,4,4,5,5,0
31677,4,1,0,1,1,0,3,3,3
31678,1,2,7,2,2,2,0,0,4
31679,4,4,1,2,6,2,2,2,5
31680,5,5,3,7,4,0,3,3,4
31681,3,3,3,2,6,2,0,2,2
31682,3,3,3,4,1,5,0,2,2
31683,4,1,0,1,0,2,5,0,3
31684,5,5,3,1,0,2,0,0,4
31685,0,4,6,0,3,3,1,1,2
31686,0,4,6,0,4,4,7,3,3
31687,7,2,2,1,0,2,5,0,3
31688,4,4,4,4,4,4,7,3,3
31689,6,4,4,7,4,0,0,2,2
31690,0,3,3,1,1,0,2,5,5
31691,0,4,6,5,1,1,3,4,0
31692,0,0,1,3,7,4,1,6,1
31693,5,5,3,4,4,4,5,5,0
31694,1,1,1,3,7,4,1,2,0
31695,5,5,3,5,1,1,6,1,1
31696,0,3,3,4,0,4,2,5,5
31697,0,1,1,0,2,6,1,1,1
31698,0,0,1,2,3,0,1,1,2
31699,0,4,6,4,4,4,1,1,2
31700,2,2,2,0,3,3,3,4,0
31701,4,6,4,1,1,1,2,5,5
31702,2,2,2,0,3,3,3,3,4
31703,3,0,3,3,7,4,1,6,1
31704,2,2,5,2,3,0,3,3,3
31705,0,4,6,1,1,1,6,1,1
31706,2,2,2,3,3,7,2,0,2
31707,1,2,7,4,0,4,1,1,2
31708,5,5,3,2,3,0,7,3,3
31709,5,3,0,0,2,6,4,4,4
31710,2,7,2,4,4,1,3,3,4
31711,3,3,0,4,4,1,2,0,2
31712,5,3,0,3,7,4,0,3,7
31713,4,4,4,1,1,1,4,1,6
31714,4,1,0,1,0,2,4,4,4
31715,0,1,1,1,1,0,0,4,4
31716,5,3,0,3,7,4,3,3,3
31717,3,3,0,2,6,2,5,5,0
31718,6,4,4,1,0,2,5,5,0
31719,1,1,1,1,5,1,5,0,3
31720,1,1,1,7,4,0,4,4,1
31721,3,3,0,3,3,7,3,4,0
31722,1,0,0,1,1,1,3,7,3
31723,2,2,5,6,2,2,0,0,4
31724,1,1,2,2,2,3,1,1,2
31725,5,3,0,4,4,4,3,3,3
31726,3,3,0,1,1,1,1,1,2
31727,1,0,0,2,2,2,2,2,5
31728,2,5,5,4,4,4,1,6,1
31729,2,2,5,1,1,0,0,2,2
31730,5,5,3,3,3,3,2,5,5
31731,1,1,1,4,4,4,3,3,4
31732,7,2,2,3,3,3,1,1,1
31733,6,4,4,3,3,7,1,2,0
31734,2,2,2,0,4,4,3,7,3
31735,2,7,2,3,3,3,0,3,7
31736,2,2,2,2,2,3,1,1,2
31737,2,2,5,0,3,3,0,4,4
31738,2,7,2,4,4,4,4,4,1
31739,5,3,0,7,4,0,1,1,1
31740,4,4,1,3,7,4,3,7,3
31741,4,4,1,1,0,2,1,1,2
31742,3,0,3,3,3,7,1,1,1
31743,2,7,2,1,1,0,0,0,4
31744,1,0,0,4,4,1,4,0,0
31745,2,2,2,0,3,3,1,2,0
31746,2,2,2,1,5,1,5,0,3
31747,0,3,3,4,4,4,1,1,1
31748,0,4,6,2,2,2,4,4,4
31749,3,3,3,0,4,4,1,6,1
31750,2,5,5,4,4,4,3,3,3
31751,4,4,1,0,3,3,4,0,0
31752,4,4,4,3,3,7,0,0,4
31753,2,7,2,4,4,1,0,2,2
31754,4,6,4,2,6,2,2,0,2
31755,4,6,4,4,4,4,2,2,5
31756,2,5,5,3,3,3,3,3,4
31757,2,2,5,2,3,0,0,2,2
31758,1,0,0,1,0,2,1,1,2
31759,7,2,2,1,1,1,7,3,3
31760,1,0,0,1,0,2,2,5,5
31761,0,1,1,4,1,5,2,2,2
31762,5,3,0,3,3,3,3,3,4
31763,3,3,0,2,2,2,2,0,2
31764,3,3,3,0,2,6,1,2,0
31765,4,1,0,5,1,1,2,0,2
31766,0,3,3,2,2,2,6,1,1
31767,0,4,6,4,0,4,0,2,2
31768,1,0,0,6,2,2,5,0,3
31769,0,1,1,1,1,0,0,0,4
31770,4,4,4,3,7,4,6,1,1
31771,2,2,5,3,0,3,3,3,4
31772,3,3,0,3,3,7,2,2,2
31773,5,3,0,0,4,4,2,2,5
31774,7,2,2,3,3,3,1,6,1
31775,4,1,0,5,1,1,2,5,5
31776,0,3,3,3,3,7,4,0,0
31777,2,7,2,1,0,2,0,3,7
31778,0,1,1,4,4,1,2,2,2
31779,1,0,0,1,1,1,5,0,3
31780,2,5,5,5,1,1,2,5,5
31781,2,7,2,2,3,0,1,1,2
31782,2,7,2,0,3,3,2,5,5
31783,2,2,5,3,0,3,1,1,1
31784,2,5,5,2,3,0,6,1,1
31785,2,2,2,1,0,2,1,2,0
31786,1,2,7,0,4,4,2,0,2
31787,0,3,3,1,0,2,2,0,2
31788,4,4,1,2,3,0,2,5,5
31789,2,2,5,3,7,4,1,1,2
31790,4,4,1,5,1,1,4,4,4
31791,3,0,3,3,3,7,2,0,2
31792,0,4,6,4,1,5,0,3,7
31793,2,2,5,4,1,5,2,2,2
31794,0,0,1,4,4,1,2,5,5
31795,4,4,1,6,2,2,3,7,3
31796,4,1,0,6,2,2,1,1,1
31797,7,2,2,3,0,3,4,4,1
31798,3,3,0,3,3,7,0,4,4
31799,4,4,1,3,3,7,5,0,3
31800,3,3,3,2,3,0,6,1,1
31801,1,1,1,4,0,4,2,0,2
31802,3,0,3,4,0,4,1,1,2
31803,4,4,4,4,1,5,1,1,2
31804,3,3,3,6,2,2,3,7,3
31805,3,3,0,2,2,3,0,3,7
31806,5,5,3,3,7,4,4,4,4
31807,2,2,5,1,1,1,0,3,7
31808,2,5,5,1,5,1,5,0,3
31809,2,2,2,7,4,0,3,3,4
31810,1,0,0,1,1,0,0,0,4
31811,0,4,6,3,7,4,2,5,5
31812,4,4,1,4,4,1,0,4,4
31813,6,4,4,4,4,4,7,3,3
31814,1,1,2,7,4,0,0,2,2
31815,2,2,2,4,4,1,1,2,0
31816,6,4,4,1,0,2,2,0,2
31817,0,3,3,4,4,4,3,7,3
31818,7,2,2,2,2,2,7,3,3
31819,2,5,5,4,1,5,2,2,2
31820,4,6,4,1,5,1,4,4,4
31821,0,0,1,4,4,4,0,0,4
31822,0,4,6,3,7,4,5,5,0
31823,2,7,2,0,3,3,2,5,5
31824,4,1,0,2,3,0,0,4,4
31825,3,3,0,6,2,2,4,4,4
31826,1,2,7,4,1,5,3,7,3
31827,4,6,4,4,4,4,4,1,6
31828,3,3,3,1,5,1,1,1,1
31829,5,5,3,2,6,2,3,7,3
31830,1,1,1,4,1,5,2,0,2
31831,1,2,7,0,3,3,0,4,4
31832,0,1,1,3,0,3,3,4,0
31833,4,4,1,3,0,3,4,4,1
31834,2,5,5,0,4,4,1,2,0
31835,3,3,0,3,3,7,7,3,3
31836,3,0,3,3,3,3,0,3,7
31837,1,0,0,7,4,0,0,4,4
31838,3,3,0,3,3,3,1,1,2
31839,2,5,5,3,7,4,2,0,2
31840,1,2,7,4,4,1,1,2,0
31841,7,2,2,0,4,4,5,0,3
31842,1,2,7,3,3,7,0,2,2
31843,5,5,3,0,2,6,2,2,5
31844,3,0,4,4,0,4,5,0,3
31845,3,3,3,4,0,4,0,2,2
31846,0,1,1,6,2,2,2,2,2
31847,1,0,0,1,1,0,3,4,0
31848,3,3,0,6,2,2,3,3,4
31849,2,7,2,4,4,1,4,0,0
31850,5,3,0,1,1,1,0,3,7
31851,5,5,3,1,1,0,0,2,2
31852,1,1,1,3,7,4,5,5,0
31853,2,7,2,3,3,7,1,1,2
31854,0,0,1,2,2,3,3,7,3
31855,0,4,6,2,6,2,0,2,2
31856,4,1,0,4,4,4,2,2,2
31857,2,7,2,2,2,2,3,7,3
31858,4,1,0,0,4,4,1,1,2
31859,1,1,1,1,1,0,6,1,1
31860,0,0,1,3,3,7,3,3,4
31861,1,1,2,3,0,3,1,6,1
31862,0,1,1,2,2,2,5,5,0
31863,3,3,0,0,4,4,3,3,4
31864,1,1,1,6,2,2,4,0,0
31865,0,1,1,2,6,2,2,2,2
31866,1,1,2,2,6,2,5,0,3
31867,0,0,1,1,5,1,0,2,2
31868,0,4,6,2,6,2,1,2,0
31869,2,2,5,4,4,1,0,4,4
31870,4,6,4,4,1,5,2,5,5
31871,1,1,1,3,3,7,0,4,4
31872,5,5,3,7,4,0,6,1,1
31873,5,5,3,0,4,4,4,4,4
31874,3,3,3,3,0,3,1,1,1
31875,1,1,2,0,2,6,6,1,1
31876,1,1,2,1,5,1,1,2,0
31877,4,4,4,0,3,3,3,4,0
31878,0,3,3,4,4,4,6,1,1
31879,1,2,7,2,2,2,7,3,3
31880,0,3,3,2,2,2,4,1,6
31881,0,1,1,3,3,3,0,2,2
31882,1,1,2,4,4,4,4,4,1
31883,0,0,1,6,2,2,0,2,2
31884,0,0,1,2,3,0,0,4,4
31885,4,6,4,3,3,3,1,2,0
31886,2,2,2,6,2,2,2,5,5
31887,3,3,0,3,0,3,0,3,7
31888,0,1,1,2,3,0,5,5,0
31889,0,0,1,0,4,4,3,4,0
31890,4,4,1,0,4,4,4,4,1
31891,0,4,6,5,1,1,2,2,5
31892,2,5,5,5,1,1,4,4,1
31893,3,0,3,0,4,4,5,5,0
31894,4,4,4,7,4,0,1,6,1
31895,4,4,1,6,2,2,1,1,1
31896,5,5,3,1,5,1,4,0,0
31897,3,3,3,1,0,2,7,3,3
31898,0,1,1,2,6,2,6,1,1
31899,7,2,2,1,1,0,3,4,0
31900,2,2,2,4,1,5,4,0,0
31901,1,2,7,6,2,2,3,7,3
31902,3,0,3,6,2,2,0,4,4
31903,2,5,5,1,1,1,1,1,1
31904,4,4,4,0,4,4,0,2,2
31905,3,3,0,5,1,1,4,4,1
31906,4,6,4,0,3,3,4,4,4
31907,1,1,2,4,1,5,2,0,2
31908,2,5,5,4,0,4,5,0,3
31909,0,4,6,4,0,4,0,4,4
31910,5,5,3,3,7,4,0,2,2
31911,1,2,7,7,4,0,0,2,2
31912,6,4,4,4,4,1,3,7,3
31913,0,1,1,5,1,1,0,2,2
31914,0,1,1,1,1,1,3,7,3
31915,5,3,0,3,3,7,0,3,7
31916,3,3,3,2,2,2,1,1,2
31917,3,0,4,3,3,7,4,4,1
31918,6,4,4,3,0,3,2,5,5
31919,0,0,1,0,4,4,1,6,1
31920,2,5,5,3,0,3,3,7,3
31921,2,2,5,3,0,3,3,3,3
31922,6,4,4,1,5,1,1,2,0
31923,4,6,4,2,6,2,3,3,4
31924,4,1,0,4,0,4,4,4,4
31925,5,3,0,4,1,5,3,4,0
31926,1,1,1,7,4,0,5,5,0
31927,4,4,1,0,4,4,0,4,4
31928,1,1,1,1,5,1,4,1,6
31929,5,5,3,0,3,3,2,5,5
31930,2,2,5,2,3,0,0,0,4
31931,3,3,3,3,7,4,6,1,1
31932,4,6,4,0,4,4,3,3,4
31933,3,3,0,1,0,2,2,2,5
31934,0,1,1,4,4,4,2,2,5
31935,1,2,7,5,1,1,3,4,0
31936,4,6,4,2,2,3,3,3,3
31937,6,4,4,6,2,2,2,0,2
31938,2,2,5,2,2,3,2,2,2
31939,0,3,3,4,4,1,2,2,2
31940,2,2,2,0,2,6,3,7,3
31941,4,4,1,0,3,3,3,7,3
31942,3,0,3,1,5,1,5,5,0
31943,0,0,1,1,0,2,1,1,2
31944,5,3,0,3,3,7,3,3,4
31945,0,1,1,1,0,2,0,0,4
31946,6,4,4,4,4,1,4,4,1
31947,6,4,4,1,5,1,4,4,1
31948,0,3,3,2,6,2,0,2,2
31949,3,3,0,2,2,2,4,4,1
31950,5,5,3,2,3,0,1,1,2
31951,3,0,4,1,0,2,3,3,4
31952,2,2,2,0,2,6,0,3,7
31953,7,2,2,4,0,4,0,0,4
31954,1,2,7,3,0,3,0,3,7
31955,4,6,4,2,3,0,1,1,1
31956,2,2,5,4,0,4,5,5,0
31957,0,0,1,1,5,1,2,0,2
31958,3,0,3,0,4,4,4,4,4
31959,5,5,3,3,7,4,0,2,2
31960,4,1,0,3,0,3,1,6,1
31961,1,0,0,0,4,4,3,3,3
31962,2,2,5,4,1,5,2,5,5
31963,3,0,4,3,3,7,2,5,5
31964,4,4,4,4,0,4,3,3,4
31965,1,0,0,3,0,3,1,1,2
31966,3,0,4,3,3,7,0,2,2
31967,4,4,4,4,4,4,1,2,0
31968,1,1,2,3,3,7,2,0,2
31969,4,1,0,2,3,0,3,3,4
31970,0,3,3,3,3,7,0,4,4
31971,0,4,6,1,0,2,0,2,2
31972,0,0,1,3,3,7,1,6,1
31973,2,2,2,2,2,3,1,6,1
31974,1,1,2,2,2,2,5,0,3
31975,4,6,4,1,1,1,4,4,1
31976,4,4,1,0,2,6,5,5,0
31977,4,4,4,4,1,5,4,4,1
31978,0,3,3,1,5,1,5,0,3
31979,5,3,0,4,4,4,1,1,2
31980,4,1,0,3,7,4,2,5,5
31981,2,2,5,4,4,1,6,1,1
31982,1,0,0,0,2,6,2,2,5
31983,4,6,4,4,4,4,3,4,0
31984,4,4,4,3,3,7,1,6,1
31985,1,1,1,0,2,6,5,0,3
31986,7,2,2,4,4,4,5,0,3
31987,4,6,4,3,0,3,2,5,5
31988,3,0,3,0,3,3,2,0,2
31989,0,1,1,1,1,0,2,0,2
31990,4,6,4,3,3,7,3,4,0
31991,1,0,0,1,1,0,2,2,5
31992,7,2,2,3,7,4,1,1,2
31993,4,6,4,4,4,4,4,4,1
31994,2,2,5,4,4,1,3,4,0
31995,2,5,5,3,3,7,2,5,5
31996,1,1,2,3,7,4,5,0,3
31997,1,2,7,0,3,3,5,0,3
31998,3,3,0,5,1,1,1,6,1
31999,4,1,0,3,3,7,3,7,3
32000,2,7,2,2,2,2,5,0,3
32001,1,2,7,4,4,4,7,3,3
32002,6,4,4,1,1,1,2,5,5
32003,4,4,4,6,2,2,0,2,2
32004,4,4,4,2,6,2,4,1,6
32005,3,3,3,0,4,4,4,4,1
32006,5,3,0,1,1,1,4,0,0
32007,0,1,1,0,4,4,1,2,0
32008,4,6,4,1,1,1,3,4,0
32009,6,4,4,1,1,0,1,6,1
32010,3,3,0,3,3,7,0,3,7
32011,2,7,2,2,3,0,5,5,0
32012,3,0,4,4,0,4,2,5,5
32013,1,0,0,1,1,1,2,2,2
32014,4,1,0,1,0,2,4,0,0
32015,2,2,2,4,4,4,1,6,1
32016,5,3,0,1,5,1,5,5,0
32017,0,3,3,0,3,3,2,0,2
32018,4,4,4,2,2,3,1,2,0
32019,3,0,3,1,1,1,2,5,5
32020,0,3,3,1,5,1,0,0,4
32021,0,0,1,1,1,0,5,5,0
32022,0,3,3,7,4,0,1,6,1
32023,2,2,5,0,3,3,1,1,1
32024,2,7,2,2,6,2,7,3,3
32025,0,3,3,2,2,2,3,7,3
32026,4,4,4,4,1,5,1,6,1
32027,5,5,3,1,1,1,1,6,1
32028,4,4,1,1,1,0,1,1,2
32029,2,2,2,5,1,1,6,1,1
32030,0,1,1,3,7,4,4,4,4
32031,3,0,3,7,4,0,4,0,0
32032,1,1,1,2,2,2,4,4,1
32033,3,0,4,0,4,4,4,4,4
32034,1,2,7,2,3,0,4,4,4
32035,1,2,7,0,3,3,2,2,2
32036,3,0,3,3,3,3,1,1,2
32037,7,2,2,3,3,7,4,4,1
32038,1,0,0,2,2,2,3,7,3
32039,7,2,2,3,3,7,1,1,2
32040,2,2,5,3,3,3,3,7,3
32041,1,1,2,4,4,4,7,3,3
32042,4,4,1,2,6,2,3,3,3
32043,0,4,6,0,4,4,0,3,7
32044,3,3,3,0,3,3,0,3,7
32045,0,0,1,4,4,4,2,2,2
32046,4,4,1,2,6,2,5,0,3
32047,2,5,5,0,3,3,1,6,1
32048,4,1,0,1,1,1,5,5,0
32049,2,2,2,6,2,2,1,6,1
32050,3,3,3,0,2,6,1,1,1
32051,5,3,0,3,3,7,3,3,3
32052,3,0,4,4,4,4,4,4,4
32053,3,0,3,2,2,2,1,2,0
32054,3,3,0,0,3,3,1,6,1
32055,0,0,1,1,5,1,3,7,3
32056,4,4,4,2,2,2,0,0,4
32057,4,1,0,5,1,1,3,3,4
32058,4,6,4,2,3,0,5,5,0
32059,5,5,3,3,7,4,1,2,0
32060,6,4,4,2,2,2,2,0,2
32061,1,0,0,4,0,4,2,0,2
32062,1,0,0,2,2,3,2,2,2
32063,4,4,4,3,3,7,1,1,2
32064,2,7,2,4,4,4,5,5,0
32065,2,2,5,3,7,4,3,3,4
32066,3,0,4,0,4,4,5,0,3
